English,Arabic
HSBC Bank Middle East Limited,??? ???.??. ??. ??. ????? ???? ???????
Standard Chartered Bank,"??????? ??????
???"
Emirates NBD Bank P.J.S.C,"??? ?????? ??? ??????
?.?.?"
CitiBank N.A.,"???????????? ???
??. ??."
Mashreq Bank P.S.C.,"??? ?????????????
?.?.?"
Habib Bank Ltd.,??? ??? ??????????????
United Bank Ltd.,"????????????? ???
????"
"First Abu Dhabi Bank
P.J.S.C",??? ?????? ??? ?.?.?
Bank Saderat Iran,"??? ??????????????
????"
"Commercial Bank of Dubai
P.J.S.C",??? ??? ??????? ?.?.?
Al Ahli Bank of Kuwait,"????? ????
?????? (?. ?.
?)"
Bank Melli Iran,??? ????? ??????????
"Arab African
International Bank",????? ?????? ????? ??????
Banque Misr,?????? ??????
Bank of Sharjah P.J.S.C,"??? ??????????????
?.?.?"
Arab Bank PLC,"????? ??????
.?.?.?"
BNP Paribas,"??. ??. ??.
?????????"
"Al Khaliji
(France) S. A.","?????? (?????)
??. ??."
Natwest Markets Plc,??? ??? ?????? ?.?.?
Rafidain Bank,???? ???????
Bank of Baroda,??? ???????????
Janata Bank Limited,"??????? ??????
????"
"Habib Bank
A.G Zurich",??? ??? ?? ?? ????
"Banque Banorient
France","??? ???????
?????"
Dubai Islamic Bank P.J.S.C,"??? ??? ????
?.?.?"
Sharjah Islamic Bank P.J.S.C.,"???? ???????
???? ?.?.?"
United Arab Bank P.J.S.C,????? ?????? ?????? ?.?.?
InvestBank P.J.S.C,??? ???????????????
"Credit Agricole- Corporate and Investment
Bank","???? ??????
??? ?????? ????????"
"Arab Bank for
Inv.& Foreign Trade","?????? ??????
??????? ???????? ???????"
"Emirates Islamic Bank
P.J.S.C.",???? ?????? ???? ?.?.?
"National Bank of R.A.K
P.J.S.C",??? ??? ????? ?????? ?.?.?
"Emirates Investment
Bank (PJSC)","??? ?????? ???????
(?.?.?)"
El Nilein Bank,??? ????????
"National Bank of  Oman
S.A.O.G.","????? ??????
??????? (?.
?.?.?.)"
National Bank of U.A.Q PSC,??? ?? ????? ?????? ?.?.?
National Bank of Bahrain,"??? ??????
??????"
"National Bank of Fujairah
PSC",??? ?????? ?????? ?.?.?
"Abu Dhabi Commercial
Bank P.J.S.C",??? ?????? ??????? ?.?.?
"Commercial Bank International
P.J.S.C",????? ??????? ?????? ?.?.?
"Abu Dhabi Islamic Bank
P.J.S.C","???? ??????
???? ?.?.?"
Al Hilal  Bank P.J.S.C,"???? ????
?.?.?"
Doha Bank,??? ????????
The Saudi National Bank,????? ???? ???????
Ajman  Bank P.J.S.C,"???? ?????
?.?.?"
National Bank of Kuwait,"??? ?????
??????"
"Industrial & Commercial
Bank of China","???????? ??? ??????? ???
??? ?????"
Deutsche Bank AG,"????? ??? ??
???"
KEB Hana Bank,"?? ?? ?? ????
????"
Barclays Bank PLC,"??? ??????
.?.?.?"
Bank of China Limited,???? ??? ??????? ?????
"Gulf International
Bank","??? ?????
??????"
MCB Bank Limited,"?? ?? ?? ???
????"
Intesa Sanpaolo S.P.A,????? ??? ?????
"Agricultural Bank of China
Ltd.","??????????? ??? ??? ?????
????"
Bank Al Falah Limited,??? ???? ???????
"BOK
International Bank","?? ?? ?? ???????????
???"
"Al Maryah Community
Bank L.L.C.","??? ??????
?????? ?.?.?."
WIO Bank P.J.S.C,?? ??? ?.?.?
Zand Bank P.J.S.C,???? ??? .?.?.?
MTS Bank P.J.S.C,"??? ?? ?? ??
.?.?.?"
"International Development Bank for Investment &
Finance",???? ?????? ?????? ??????? ???????
