English,Arabic
HSBC Bank Middle East Limited,بنك اتش.اس. بي. سي. الشرق اوسط المحدود
Standard Chartered Bank,"ستاندرد تشاترد
بنك",
Emirates NBD Bank P.J.S.C,"بنك امارات دبي الوطني
ش.م.ع",
CitiBank N.A.,"ستـــــــــي بنك
إن. أھ.",
Mashreq Bank P.S.C.,"بنك المشـــــــرق
ش.م.ع",
Habib Bank Ltd.,حبب بنك المـــــــحدود
United Bank Ltd.,"وناــــــــتد بنك
لمتد",
"First Abu Dhabi Bank,
P.J.S.C",بنك أبوظبي اول ش.م.ع
Bank Saderat Iran,"بنك صــــــــادرات
إران",
"Commercial Bank of Dubai,
P.J.S.C",بنك دبي التجاري ش.م.ع
Al Ahli Bank of Kuwait,"البنك اھلي
الكوتي (ش. م.,
ك)",
Bank Melli Iran,بنك مــلي اــــــران
"Arab African,
International Bank",البنك العربي افرقي الدولي
Banque Misr,بنـــك مصـــر
Bank of Sharjah P.J.S.C,"بنك الشارقـــــــة
ش.م.ع",
Arab Bank PLC,"البنك العربي
.ش.م.ع",
BNP Paribas,"بي. ان. بي.
بــــاربا",
"Al Khaliji,
(France) S. A.","الخلجي (فرنسا)
اس. اھ.",
Natwest Markets Plc,نات وست ماركتس ش.م.ع
Rafidain Bank,مصرف الرافدن
Bank of Baroda,بنك بـــــارودا
Janata Bank Limited,"جنــاتا بنـــك
لمتد",
"Habib Bank,
A.G Zurich",حبب بنك أي جي زورخ
"Banque Banorient,
France","بنك بانورنت
فرنسا",
Dubai Islamic Bank P.J.S.C,"بنك دبي اسمي
ش.م.ع",
Sharjah Islamic Bank P.J.S.C.,"مصرف الشارقة
اسمي ش.م.ع",
United Arab Bank P.J.S.C,البنك العربي المتحد ش.م.ع
InvestBank P.J.S.C,بنك استثمــــــــار
"Credit Agricole- Corporate and Investment,
Bank","كردي اجركول
بنك التمول واستثمار",
"Arab Bank for,
Inv.& Foreign Trade","المصرف العربي
لستثمار والتجارة الخارجة",
"Emirates Islamic Bank,
P.J.S.C.",مصرف امارات اسمي ش.م.ع
"National Bank of R.A.K,
P.J.S.C",بنك رأس الخمة الوطني ش.م.ع
"Emirates Investment,
Bank (PJSC)","بنك امارات لستثمار
(ش.م.ع)",
El Nilein Bank,بنك النــلـن
"National Bank of  Oman,
S.A.O.G.","البنك الوطني
العماني (ش.,
م.ع.ع.)",
National Bank of U.A.Q PSC,بنك ام القون الوطني ش.م.ع
National Bank of Bahrain,"بنك البحرن
الوطني",
"National Bank of Fujairah,
PSC",بنك الفجرة الوطني ش.م.ع
"Abu Dhabi Commercial,
Bank P.J.S.C",بنك أبوظبي التجاري ش.م.ع
"Commercial Bank International,
P.J.S.C",البنك التجاري الدولي ش.م.ع
"Abu Dhabi Islamic Bank,
P.J.S.C","مصرف أبوظبي
اسمي ش.م.ع",
Al Hilal  Bank P.J.S.C,"مصرف الھل
ش.م.ع",
Doha Bank,بنك الدوحــة
The Saudi National Bank,البنك اھلي السعودي
Ajman  Bank P.J.S.C,"مصرف عجمان
ش.م.ع",
National Bank of Kuwait,"بنك الكوت
الوطني",
"Industrial & Commercial,
Bank of China","اندسترال اند كومرشال بنك
أوف تشانا",
Deutsche Bank AG,"دوتشھ بنك أي
جـي",
KEB Hana Bank,"كي أي بي ھانا
بنـك",
Barclays Bank PLC,"بنك باركلز
.ش.م.ع",
Bank of China Limited,بنـك اوف تشانــا لمتـد
"Gulf International,
Bank","بنك الخلج
الدولي",
MCB Bank Limited,"ام سي بي بنك
لمتد",
Intesa Sanpaolo S.P.A,انتزا سان باولو
"Agricultural Bank of China,
Ltd.","أغركالتشرال بنك أوف تشانا
لمتد",
Bank Al Falah Limited,بنك الفح المحدود
"BOK,
International Bank","بي أو كي انترناشونال
بنك",
"Al Maryah Community,
Bank L.L.C.","بنك المارة
المحلي ذ.م.م.",
WIO Bank P.J.S.C,وو بنك ش.م.ع
Zand Bank P.J.S.C,زاند بنك .ش.م.ع
MTS Bank P.J.S.C,"بنك أم تي أس
.ش.م.ع",
"International Development Bank for Investment &,
Finance",مصرف التنمة الدولي لستثمار والتمول
