"englishBankName","arabicBankName"
"HSBC Bank Middle East Limited","بنك اتش.اس. بي. سي. الشرق الاوسط المحدود"
"Standard Chartered Bank","ستاندرد تشاترد بنك"
"Emirates NBD Bank P.J.S.C","بنك الامارات دبي الوطني ش.م.ع"
"CitiBank N.A.","سیتـــــــــي بنك إن . أیه."
"Mashreq Bank P.S.C.","بنك المشـــــــرق ش.م.ع"
"Habib Bank Ltd.","حبيب بنك المـــــــحدود"
"United Bank Ltd.","یونایــــــــتد بنك ليمتد"
"First Abu Dhabi Bank P.J.S.C","بنك أبوظبي الأول ش.م.ع"
"Bank Saderat Iran","بنك صــــــــادرات إیران"
"Commercial Bank of Dubai P.J.S.C","بنك دبي التجاري ش.م.ع"
"Al Ahli Bank of Kuwait","البنك الاھلي الكویتي (ش. م. ك)"
"Bank Melli Iran","بنك مــلي ایــــــران"
"Arab African International Bank","البنك العربي الافریقي الدولي"
"Banque Misr","بنـــك مصـــر"
"Bank of Sharjah P.J.S.C","بنك الشارقـــــــة ش.م.ع"
"Arab Bank PLC","البنك العربي .ش.م.ع"
"BNP Paribas","بي. ان. بي. باريبا"
"Al Khaliji (France) S. A.","الخلیجي (فرنسا) اس. ایه."
"Natwest Markets Plc","نات ویست ماركتس ش.م.ع"
"Rafidain Bank","مصرف الرافدین"
"Bank of Baroda","بنك بـــــارودا"
"Janata Bank Limited","جناتا بنك ليمتد"
"Habib Bank A.G Zurich","حبيب بنك أي جي زيوريخ"
"Banque Banorient France","بنك بانورينت فرنسا"
"Dubai Islamic Bank P.J.S.C","بنك دبي الإسلامي ش.م.ع"
"Sharjah Islamic Bank P.J.S.C.","مصرف الشارقة الاسلامي ش.م.ع"
"United Arab Bank P.J.S.C","البنك العربي المتحد ش.م.ع"
"InvestBank P.J.S.C","بنك الاستثمار"
"Credit AgricoleCorporate and Investment Bank","كریدي اجریكول بنك التمویل والاستثمار"
"Arab Bank for Inv.& Foreign Trade","المصرف العربي للاستثمار والتجارة الخارجیة"
"Emirates Islamic Bank P.J.S.C.","مصرف الإمارات الإسلامي ش.م.ع"
"National Bank of R.A.K P.J.S.C","بنك رأس الخيمة الوطني ش.م.ع"
"Emirates Investment Bank (PJSC)","بنك الإمارات للاستثمار ش.م.ع"
"El Nilein Bank","بنك النيلين"
"National Bank of Oman S.A.O.G.","البنك الوطني العماني ش.م.ع.ع"
"National Bank of U.A.Q PSC","بنك ام القيوين الوطني ش.م.ع"
"National Bank of Bahrain","بنك البحرين الوطني"
"National Bank of Fujairah PSC","بنك الفجيرة الوطني ش.م.ع"
"Abu Dhabi Commercial Bank P.J.S.C","بنك أبو ظبي التجاري ش.م.ع"
"Commercial Bank International P.J.S.C","البنك التجاري الدولي ش.م.ع"
"Abu Dhabi Islamic Bank P.J.S.C","مصرف أبو ظبي الاسلامي ش.م.ع"
"Al Hilal Bank P.J.S.C","مصرف الهلال ش.م.ع"
"Doha Bank","بنك الدوحة"
"The Saudi National Bank","البنك الاهلي السعودي"
"Ajman Bank P.J.S.C","مصرف عجمان ش.م.ع"
"National Bank of Kuwait","بنك الكويت الوطني"
"Industrial & Commercial Bank of China","اندستريال اند كوميرشال بنك أوف تشاينا"
"Deutsche Bank AG","دويتشه بنك أي جي"
"KEB Hana Bank","كي أي بي هانا بنك"
"Barclays Bank PLC","بنك باركليز ش.م.ع"
"Bank of China Limited","بنك اوف تشاينا ليمتد"
"Gulf International Bank","بنك الخليج الدولي"
"MCB Bank Limited","ام سي بي بنك ليمتد"
"Intesa Sanpaolo S.P.A","انتيزا سان باولو"
"Agricultural Bank of China Ltd.","أغریكالتشرال بنك أوف تشاینا لیمتد"
"Bank Al Falah Limited","بنك الفلاح المحدود"
"BOK International Bank","بي أو كي انترناشیونال بنك"
"Al Maryah Community Bank L.L.C.","بنك الماریة المحلي ذ.م.م."
"WIO Bank P.J.S.C","ويو بنك ش.م.ع"
"Zand Bank P.J.S.C","زاند بنك ش.م.ع"
"MTS Bank P.J.S.C","بنك أم تي أس ش.م.ع"
"International Development Bank for Investment & Finance","مصرف التنمیة الدولي للاستثمار والتمویل"
